sim_seconds,active,overdue,pending,cap,takes_total,losses,returned_empty,backoff
5,0,0,3,3,0,0,0,1.0
10,1,0,2,3,0,0,0,1.0
15,3,0,0,3,0,0,0,1.0
20,3,0,0,3,0,0,0,1.0
25,3,0,0,3,0,0,0,1.0
30,3,0,0,3,0,0,0,1.0
35,3,0,0,3,0,0,0,1.0
40,3,0,0,3,0,0,0,1.0
45,3,0,0,3,0,0,0,1.0
50,3,0,0,3,0,0,0,1.0
55,3,0,0,3,0,0,0,1.0
60,3,0,0,3,0,0,0,1.0
65,3,0,0,3,0,0,0,1.0
70,3,0,0,3,0,0,0,1.0
75,3,0,0,3,0,0,0,1.0
80,3,0,0,3,0,0,0,1.0
85,3,0,0,3,0,0,0,1.0
90,3,0,0,3,0,0,0,1.0
95,3,0,0,3,0,0,0,1.0
100,3,0,0,3,0,0,0,1.0
105,3,0,0,3,0,0,0,1.0
110,3,0,0,3,0,0,0,1.0
115,3,0,0,3,0,0,0,1.0
120,3,0,0,3,0,0,0,1.0
125,3,0,0,3,0,0,0,1.0
130,3,0,0,3,0,0,0,1.0
135,3,0,0,3,0,0,0,1.0
140,3,0,0,3,0,0,0,1.0
145,3,0,0,3,0,0,0,1.0
150,3,0,0,3,0,0,0,1.0
155,3,0,0,3,0,0,0,1.0
160,3,0,0,3,0,0,0,1.0
165,3,0,0,3,0,0,0,1.0
170,3,0,0,3,0,0,0,1.0
175,3,0,0,3,0,0,0,1.0
180,3,0,0,3,0,0,0,1.0
185,3,0,0,3,0,0,0,1.0
190,3,0,0,3,0,0,0,1.0
195,3,0,0,3,0,0,0,1.0
200,3,0,0,3,0,0,0,1.0
205,3,0,0,3,0,0,0,1.0
210,3,0,0,3,0,0,0,1.0
215,3,0,0,3,0,0,0,1.0
220,3,0,0,3,0,0,0,1.0
225,3,0,0,3,0,0,0,1.0
230,3,0,0,3,0,0,0,1.0
235,3,0,0,3,0,0,0,1.0
240,3,0,0,3,0,0,0,1.0
245,3,0,0,3,0,0,0,1.0
250,3,0,0,3,0,0,0,1.0
255,3,0,0,3,0,0,0,1.0
260,3,0,0,3,0,0,0,1.0
265,3,0,0,3,0,0,0,1.0
270,3,0,0,3,0,0,0,1.0
275,3,0,0,3,0,0,0,1.0
280,3,0,0,3,0,0,0,1.0
285,3,0,0,3,0,0,0,1.0
290,3,0,0,3,0,0,0,1.0
295,3,0,0,3,0,0,0,1.0
300,3,0,0,3,0,0,0,1.0
305,3,0,0,3,0,0,0,1.0
310,3,0,0,3,0,0,0,1.0
315,3,0,0,3,0,0,0,1.0
320,3,0,0,3,0,0,0,1.0
325,3,0,0,3,0,0,0,1.0
330,3,0,0,3,0,0,0,1.0
335,3,0,0,3,0,0,0,1.0
340,3,0,0,3,0,0,0,1.0
345,3,0,0,3,0,0,0,1.0
350,3,0,0,3,0,0,0,1.0
355,3,0,0,3,0,0,0,1.0
360,3,0,0,3,0,0,0,1.0
365,2,1,0,3,0,0,0,1.0
370,2,1,0,3,0,0,0,1.0
375,2,1,0,3,0,0,0,1.0
380,2,1,0,3,0,0,0,1.0
385,2,1,0,3,0,0,0,1.0
390,2,1,0,3,0,0,0,1.0
395,2,1,0,3,0,0,0,1.0
400,2,1,0,3,0,0,0,1.0
405,2,1,0,3,0,0,0,1.0
410,2,0,1,3,0,1,0,2.0
415,2,0,1,3,0,1,0,2.0
420,2,0,1,3,0,1,0,2.0
425,2,0,1,3,0,1,0,2.0
430,3,0,0,3,0,1,0,2.0
435,3,0,0,3,0,1,0,2.0
440,3,0,0,3,0,1,0,2.0
445,3,0,0,3,0,1,0,2.0
450,3,0,0,3,0,1,0,2.0
455,3,0,0,3,0,1,0,2.0
460,3,0,0,3,0,1,0,2.0
465,3,0,0,3,0,1,0,2.0
470,3,0,0,3,0,1,0,2.0
475,3,0,0,3,0,1,0,2.0
480,3,0,0,3,0,1,0,2.0
485,3,0,0,3,0,1,0,2.0
490,3,0,0,3,0,1,0,2.0
495,3,0,0,3,0,1,0,2.0
500,3,0,0,3,0,1,0,2.0
505,3,0,0,3,0,1,0,2.0
510,3,0,0,3,0,1,0,2.0
515,3,0,0,3,0,1,0,2.0
520,3,0,0,3,0,1,0,2.0
525,3,0,0,3,0,1,0,2.0
530,3,0,0,3,0,1,0,2.0
535,2,1,0,3,0,1,0,2.0
540,2,1,0,3,0,1,0,2.0
545,2,1,0,3,0,1,0,2.0
550,2,1,0,3,0,1,0,2.0
555,2,1,0,3,0,1,0,2.0
560,2,1,0,3,0,1,0,2.0
565,2,1,0,3,0,1,0,2.0
570,2,1,0,3,0,1,0,2.0
575,2,1,0,3,0,1,0,2.0
580,2,0,1,3,0,2,0,4.0
585,2,0,1,3,0,2,0,4.0
590,2,0,1,3,0,2,0,4.0
595,2,0,1,3,0,2,0,4.0
600,2,0,1,3,0,2,0,4.0
605,2,0,1,3,0,2,0,4.0
610,2,0,1,3,0,2,0,4.0
615,2,0,1,3,0,2,0,4.0
620,3,0,0,3,0,2,0,4.0
625,3,0,0,3,0,2,0,4.0
630,3,0,0,3,0,2,0,4.0
635,3,0,0,3,0,2,0,4.0
640,3,0,0,3,0,2,0,4.0
645,3,0,0,3,0,2,0,4.0
650,3,0,0,3,0,2,0,4.0
655,3,0,0,3,0,2,0,4.0
660,3,0,0,3,0,2,0,4.0
665,3,0,0,3,0,2,0,4.0
670,3,0,0,3,0,2,0,4.0
675,3,0,0,3,0,2,0,4.0
680,3,0,0,3,0,2,0,4.0
685,3,0,0,3,0,2,0,4.0
690,3,0,0,3,0,2,0,4.0
695,3,0,0,3,0,2,0,4.0
700,3,0,0,3,0,2,0,4.0
705,3,0,0,3,0,2,0,4.0
710,3,0,0,3,0,2,0,4.0
715,3,0,0,3,0,2,0,4.0
